SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
12016,39.57,192.28,39.84,72.56,34.84,34.04
12036,39.02,183.26,38.98,73.15,32.4,34.67
12056,38.58,163.68,37.4,67.13,31.3,30.1
12058,40.67,175.34,38.27,69.29,34.96,31.01
12059,39.33,168.3,38.54,70.16,31.1,31.76
12066,36.73,156.86,37.24,67.99,30.28,32.46
12095,40.2,179.52,40.94,67.44,33.66,30.1
12105,46.73,229.02,44.96,67.48,40.87,30.97
12149,33.5,137.28,35.83,65.67,29.8,29.55
12192,38.98,189.2,39.84,71.42,34.76,33.25
12228,32.87,114.4,31.69,63.46,27.24,30.1
12240,35.2,151.36,36.18,70.59,30.87,32.98
12252,39.33,182.38,40.0,69.37,33.31,33.41
12253,35.75,144.76,36.02,73.23,30.0,34.04
12289,37.99,177.1,39.8,68.54,33.74,31.99
12296,35.79,143.22,36.14,65.83,30.87,29.91
12305,41.97,194.26,41.02,70.87,34.57,32.23
12307,46.1,202.18,41.14,67.05,39.09,28.29
12323,40.87,182.6,38.94,69.8,34.45,32.07
12329,42.44,192.72,40.75,69.76,35.87,31.6
12344,38.54,189.2,39.96,72.24,32.72,35.54
12348,38.54,188.98,42.4,66.42,34.61,30.34
12480,37.2,188.32,39.84,69.49,31.93,33.76
12534,33.23,126.28,34.33,66.3,28.58,29.51
12578,37.44,161.26,36.54,68.58,31.69,32.27
12580,35.79,132.0,34.49,62.36,28.9,29.2
12587,35.43,152.46,35.04,71.06,29.57,35.42
12591,43.62,198.0,41.26,67.99,38.15,31.6
12594,37.44,159.06,37.2,68.62,30.91,32.54
12616,38.82,166.54,38.03,68.62,34.21,31.56
12629,37.28,159.72,37.56,67.95,31.65,31.28
12642,37.17,139.92,35.28,67.24,32.05,30.65
12655,40.79,188.32,38.9,70.2,33.07,31.32
12657,40.91,189.42,40.47,70.67,35.2,32.31
12678,40.0,190.08,41.34,71.93,35.0,33.06
12713,35.08,141.24,36.54,67.91,28.62,32.58
12729,35.67,154.22,36.54,71.06,30.2,32.15
12765,37.91,164.34,38.94,70.12,32.05,31.44
12771,37.68,159.28,38.86,64.61,33.74,30.14
12796,45.39,221.32,42.99,70.98,40.47,32.35
12813,40.2,178.64,39.53,69.06,34.25,32.23
12814,45.35,203.28,40.51,67.24,39.25,31.32
12815,39.49,209.88,40.75,75.91,32.64,37.39
12825,38.23,165.88,38.35,67.87,32.8,31.36
12833,42.36,223.74,44.41,71.3,38.23,33.29
12838,38.62,163.46,37.83,68.7,31.46,31.52
12841,34.49,134.2,34.29,68.19,28.82,33.13
12851,44.37,210.32,42.48,69.02,38.78,33.41
12877,39.61,187.0,38.35,70.67,36.57,32.82
12888,40.59,185.9,39.65,69.72,35.87,31.28
12906,34.49,137.5,35.16,67.6,28.62,31.01
12923,35.08,143.22,35.12,64.53,29.25,29.79
12926,39.06,168.3,37.8,66.38,33.78,29.71
12927,36.02,141.24,35.2,69.69,30.63,31.01
12928,43.23,211.86,43.5,71.38,39.96,32.98
12929,44.41,208.78,42.05,71.57,36.02,33.13
12931,44.09,232.54,42.99,76.14,38.43,35.77
12937,38.27,159.5,36.3,70.16,31.38,31.87
12956,35.47,144.98,37.36,66.85,30.59,29.87
12960,34.72,147.4,35.55,71.34,28.82,35.5
12964,40.75,171.6,38.66,63.98,35.63,27.07
12968,38.98,178.2,40.43,68.7,35.63,31.36
12969,39.06,182.6,38.03,70.43,32.4,33.49
13022,33.35,131.34,34.65,67.52,26.69,30.89
13165,37.48,150.26,36.61,66.38,30.83,29.51
13168,36.06,151.36,37.4,64.57,32.72,29.75
13170,39.09,163.46,37.91,66.34,33.74,29.47
13173,34.96,136.18,35.43,68.07,30.16,32.7
13180,37.52,144.76,37.91,63.58,31.61,30.1
13181,33.86,126.5,34.57,67.64,28.86,32.62
13182,40.71,188.76,40.87,69.92,36.73,31.95
13197,37.95,159.5,36.89,71.69,32.09,33.8
13198,41.77,179.08,37.36,68.5,33.82,32.74
13219,37.05,157.3,36.89,69.96,29.69,33.92
13252,42.64,188.54,39.25,70.0,36.22,32.66
13261,36.85,164.78,39.41,66.85,32.76,30.1
13283,35.59,154.44,37.01,72.09,29.33,34.63
13287,42.36,208.56,42.17,71.89,37.01,33.69
13292,39.92,158.84,37.4,64.09,32.44,28.17
13296,37.17,158.84,37.13,67.4,31.54,30.65
13300,43.07,199.98,42.05,70.63,37.68,33.06
13386,41.69,190.74,41.06,67.76,34.76,31.17
13398,38.66,182.38,39.53,70.75,33.35,33.84
13443,38.31,159.72,38.19,68.82,33.03,31.6
13454,36.73,143.44,35.75,70.28,29.61,32.27
13480,36.81,143.66,36.02,66.38,33.11,29.71
13482,42.32,206.58,42.17,71.14,33.86,34.43
13498,41.73,169.62,38.78,65.67,35.39,29.63
13511,37.68,171.38,35.67,72.01,31.18,35.42
13543,37.2,178.86,39.69,72.01,30.94,34.67
13569,37.01,153.12,38.46,63.98,31.38,28.02
13570,41.65,176.0,39.37,67.09,36.61,29.71
13580,40.67,191.4,40.2,68.5,35.2,30.97
13582,36.46,162.36,38.66,68.15,31.34,31.91
13632,38.62,170.28,39.13,69.33,32.76,32.46
13634,40.59,187.88,39.92,69.37,34.88,32.98
13638,36.61,156.86,37.05,67.44,30.83,30.1
13641,37.8,160.38,36.5,72.64,32.17,33.8
13642,35.24,162.36,36.18,70.59,30.0,32.03
13660,36.61,146.3,36.02,66.73,30.12,31.48
13763,40.08,172.04,39.41,68.23,34.45,30.1
13775,41.65,184.8,38.94,70.94,33.66,33.02
13785,41.46,178.86,38.43,67.99,33.54,32.23
13787,39.72,165.44,37.32,69.96,32.48,31.8
13806,35.31,160.82,39.13,65.63,33.11,29.59
13809,37.48,166.32,36.65,72.36,31.89,36.13
13810,41.65,173.8,38.9,66.22,34.76,30.73
13811,37.28,186.78,40.12,72.6,33.19,35.06
13814,39.49,184.36,38.86,68.82,36.3,31.64
13817,39.72,175.34,39.61,68.19,33.15,31.99
13824,38.78,158.62,37.76,68.23,29.41,32.11
13825,40.67,178.64,39.61,65.55,34.02,29.0
13831,35.59,153.12,37.83,72.56,30.67,34.87
13886,39.06,165.22,37.72,69.37,33.58,33.61
13900,42.8,223.08,44.69,70.87,38.23,34.35
13925,38.07,147.84,36.26,67.91,31.06,31.99
13933,39.25,190.74,40.35,71.14,32.48,34.83
13947,42.91,222.86,42.64,74.02,38.19,35.97
13949,36.18,143.44,35.63,72.95,29.37,35.46
13965,39.61,162.36,38.31,66.54,33.98,29.75
14046,36.06,146.3,36.3,71.77,30.31,34.16
14054,37.87,137.28,36.5,64.09,31.34,29.04
14079,38.11,157.52,37.44,69.09,30.63,32.11
14082,41.02,205.7,41.5,73.07,35.47,33.57
14127,39.84,188.98,40.12,71.42,33.9,33.37
14141,35.2,150.26,35.63,69.57,29.88,32.31
14142,42.01,197.78,42.8,70.71,37.48,32.11
14156,45.28,240.68,44.57,72.68,39.69,33.33
14158,42.6,204.16,40.47,72.05,34.8,32.66
14174,37.48,157.3,36.34,68.03,31.34,32.35
14182,36.18,143.88,35.67,65.67,30.16,29.91
14184,38.39,168.3,39.57,67.13,33.19,30.69
14190,41.14,212.3,41.42,73.62,35.94,36.6
14192,38.58,169.4,39.37,63.74,31.89,27.54
14198,36.97,145.2,36.06,69.37,29.21,32.35
14199,35.31,147.4,36.54,67.36,29.33,30.26
14201,39.49,169.62,38.74,70.2,32.05,32.31
14208,38.19,164.12,37.56,70.2,32.99,32.82
14216,45.08,186.12,38.82,68.58,36.22,31.05
14224,37.24,162.58,37.44,69.21,30.63,32.94
14227,43.82,209.0,41.3,70.2,37.24,32.78
14238,40.67,185.02,40.12,69.33,34.76,32.66
14239,41.02,186.34,40.04,70.91,33.9,34.94
14240,42.68,221.98,43.58,72.09,37.72,34.47
14246,34.57,135.3,35.83,67.2,27.99,30.1
14258,35.51,150.04,36.54,71.3,29.84,33.25
14277,33.54,130.02,33.82,65.39,28.66,29.59
14278,37.68,159.06,36.57,67.99,31.81,32.15
14291,37.09,140.8,35.24,67.4,29.69,30.85
14355,37.56,166.76,37.2,72.83,31.34,33.21
14356,42.05,180.84,40.91,68.7,36.93,31.8
14357,37.6,155.54,36.73,69.92,29.65,33.37
14359,41.34,189.2,38.78,72.95,35.94,33.65
14362,38.9,172.92,38.11,69.76,31.57,33.72
14363,39.57,168.52,37.8,67.13,32.13,31.56
14364,39.84,196.9,40.75,71.69,34.65,35.02
14371,40.91,194.7,40.79,67.17,36.81,30.02
14372,43.46,214.72,43.62,69.65,37.44,33.37
14375,43.35,196.02,40.39,73.15,37.4,32.7
14377,38.74,161.92,37.68,67.56,30.94,30.89
14382,37.28,143.66,35.87,65.87,31.22,30.65
14386,38.07,146.3,36.22,68.78,29.72,32.11
14394,36.26,141.02,36.1,68.58,28.58,31.6
14398,39.61,189.86,40.55,71.3,33.7,32.39
14399,39.61,179.96,38.54,71.14,30.79,32.54
14401,34.02,119.24,33.54,61.42,29.21,26.76
14403,41.02,196.9,40.55,70.75,35.08,32.46
14405,38.07,157.52,37.72,67.72,32.87,30.65
14411,37.05,155.54,36.54,71.06,30.87,35.54
14415,39.33,156.64,36.97,65.98,32.95,30.77
14417,40.67,183.92,39.61,69.33,36.93,32.07
14421,38.43,177.32,38.54,68.98,32.6,30.57
14457,38.54,168.96,37.2,70.28,31.06,34.98
14486,41.3,182.82,38.9,71.69,35.71,33.45
14487,41.61,177.54,38.98,66.34,36.93,29.91
14500,43.23,193.6,40.63,67.32,37.91,30.81
14513,41.26,184.14,38.19,70.75,33.27,32.98
14527,38.23,167.42,37.4,70.39,34.17,32.66
14532,37.64,158.84,38.39,67.83,31.46,31.56
14561,36.73,143.22,36.14,70.94,27.76,32.98
14565,38.82,159.5,37.91,64.65,32.99,29.59
14581,44.49,213.18,43.62,69.88,38.54,31.24
14596,38.43,170.72,39.21,69.88,31.42,33.02
14614,41.22,190.52,39.49,70.55,33.78,32.46
14618,36.97,154.22,37.05,69.37,30.28,33.13
14621,38.78,161.26,36.61,70.43,33.54,31.52
14622,39.8,180.4,39.57,69.25,37.36,31.68
14623,39.57,166.32,38.94,67.95,33.7,32.58
14626,35.16,135.96,34.72,67.01,28.27,31.09
14629,38.86,165.88,37.4,66.93,35.0,30.69
14645,40.51,186.78,39.21,70.67,34.33,33.84
