SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
26177,32.64,115.5,34.84,32.2,62.05,24.69,13.11,28.88,10.63
26178,34.37,122.98,34.96,30.91,64.41,26.18,13.54,29.98,9.84
26180,36.42,131.12,38.19,32.01,62.13,29.61,13.46,28.21,9.37
26181,38.5,170.28,42.4,34.57,68.35,32.05,14.17,33.37,9.84
26184,39.37,139.04,37.44,33.23,63.78,31.57,14.45,30.02,9.88
26185,33.86,130.46,37.09,32.2,65.28,26.61,14.25,30.1,9.65
26187,36.34,124.52,34.96,32.52,63.98,26.97,13.78,30.69,10.0
26188,34.37,133.1,38.7,30.59,63.5,26.38,13.23,29.75,9.45
26189,36.81,167.42,41.22,32.32,65.28,32.01,14.49,30.5,11.3
26190,34.76,146.08,38.03,33.43,65.94,26.97,13.7,30.97,10.12
26193,33.19,119.02,35.43,30.79,60.55,26.54,13.54,28.72,10.04
26197,35.83,140.8,37.99,32.68,64.76,28.74,13.86,30.61,10.55
26198,36.22,131.12,38.86,30.16,64.09,27.64,12.91,28.65,9.65
26199,35.51,145.64,39.84,34.06,67.64,28.23,14.06,32.19,8.82
26201,34.53,144.32,40.43,33.27,64.17,27.87,13.31,30.18,10.91
26203,37.17,139.92,38.94,32.36,62.44,29.69,13.5,28.65,10.31
26205,35.08,148.28,39.57,33.46,65.47,29.45,13.62,30.57,10.31
26206,35.04,123.2,37.8,30.24,61.22,26.14,12.83,28.65,9.72
26207,32.52,108.02,34.92,31.06,62.72,25.12,12.87,29.63,8.98
26209,35.63,135.96,37.6,31.89,62.52,28.5,14.06,29.71,10.51
26212,42.48,181.5,43.74,34.45,67.87,31.5,14.69,31.05,11.02
26213,38.9,162.58,41.5,33.19,64.45,32.48,14.69,29.75,10.63
26217,33.66,126.28,37.48,30.47,65.16,26.5,13.31,28.49,9.53
26218,40.91,165.0,41.93,31.3,63.23,31.61,14.45,28.25,10.98
26222,35.83,132.0,37.48,32.32,62.48,27.28,13.82,29.16,10.0
26223,37.09,149.82,39.37,31.93,64.57,29.84,13.62,29.91,10.24
26224,41.06,208.12,46.81,34.17,68.9,35.08,14.33,32.58,12.09
26225,32.95,140.8,39.72,31.89,65.39,27.99,14.17,28.76,10.59
26226,37.48,154.88,39.84,31.46,65.2,28.66,13.11,29.35,10.28
26228,34.53,140.8,40.55,31.81,62.99,27.36,13.78,29.39,10.24
26229,33.98,119.46,36.42,30.98,63.31,25.47,12.99,27.98,9.45
26231,33.78,118.36,37.01,29.96,61.18,25.91,13.54,26.99,9.25
26233,36.73,151.36,38.74,30.75,62.4,30.63,13.78,28.88,10.83
26234,32.99,120.34,34.61,34.49,67.17,26.06,13.66,32.5,9.09
26236,37.99,144.1,39.09,31.02,62.56,31.38,13.31,27.46,10.31
26238,37.91,173.58,43.15,34.25,64.61,32.56,15.35,30.42,10.67
26239,31.73,111.32,34.25,31.81,65.43,25.39,12.91,31.36,9.37
26240,36.81,152.68,38.7,33.54,66.77,27.24,13.7,31.76,11.02
26241,32.6,116.82,35.12,29.45,62.4,27.2,12.91,27.82,9.65
26242,31.81,115.5,36.34,30.43,63.15,25.31,12.72,29.16,9.33
26243,34.72,125.4,38.07,30.31,60.39,26.42,13.86,27.27,9.65
26244,32.99,122.76,37.09,31.06,63.82,27.09,13.31,29.16,9.53
26245,38.03,152.9,40.31,32.52,65.94,30.24,13.54,30.1,9.76
26246,35.16,130.46,36.93,31.57,62.68,28.94,12.72,30.1,9.72
26247,32.2,117.7,35.28,31.69,66.22,27.05,13.74,30.85,8.82
26248,35.67,141.9,39.13,32.17,62.6,28.94,13.78,28.21,10.35
26249,35.43,136.84,40.04,32.05,61.73,29.33,14.17,28.65,10.12
26250,32.91,128.04,37.72,33.27,63.82,28.54,13.39,30.97,9.84
26251,34.65,141.24,40.47,31.3,60.94,29.84,13.46,28.09,9.84
86793,37.6,186.12,42.4,32.64,71.3,29.45,15.16,32.58,10.94
