SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
8443,42.72,203.94,42.48,36.42,68.7,37.17,17.09,30.65,13.07
8465,41.93,183.92,38.94,35.08,68.23,37.36,16.65,30.97,11.81
8466,38.78,162.8,38.9,33.9,68.5,32.95,15.71,31.2,10.67
8479,36.22,155.1,36.54,35.55,69.61,29.37,16.06,31.48,12.05
8497,40.08,175.78,37.83,34.96,70.87,31.81,16.26,32.58,12.36
8498,36.5,156.2,36.97,35.08,69.13,31.65,15.59,32.19,11.81
8514,34.45,141.24,35.24,33.43,69.21,30.08,15.51,30.81,10.63
8518,40.55,209.44,42.28,36.42,71.57,35.51,17.95,33.02,13.46
8530,46.14,215.6,40.24,35.94,70.75,40.04,17.72,30.93,12.64
8532,36.1,170.94,36.42,37.32,74.45,31.14,15.59,37.23,11.34
8556,39.57,195.8,38.35,39.21,73.15,34.13,17.2,34.91,12.87
8599,42.36,207.24,40.79,36.57,73.74,36.18,17.32,34.94,13.39
8602,38.03,149.38,36.57,34.06,65.83,30.87,15.83,29.47,11.85
8633,41.34,175.34,40.39,33.98,65.31,34.61,15.63,29.43,11.81
8634,36.77,159.72,37.83,33.78,67.36,31.81,15.91,31.44,12.09
8638,47.05,221.1,42.17,35.94,68.31,38.62,17.6,30.65,13.74
8665,36.18,148.28,35.87,35.2,71.14,30.31,15.59,31.95,11.46
8669,35.75,131.56,34.25,34.92,66.93,28.27,15.79,29.67,10.79
8699,37.76,155.32,37.56,33.31,67.01,31.77,15.51,30.26,11.02
8706,36.1,153.56,36.93,36.18,71.26,29.41,15.87,32.39,11.73
8711,41.06,195.8,40.63,34.69,71.14,35.31,16.06,32.31,12.4
8717,37.91,156.42,37.6,31.54,67.32,31.02,15.71,29.91,11.1
8731,42.68,197.56,41.06,37.56,71.02,35.59,17.68,33.96,12.87
8735,41.5,188.32,40.47,35.0,68.43,35.94,16.42,31.48,12.17
8739,37.48,165.66,38.23,36.18,71.42,31.42,15.79,34.04,11.26
8740,36.5,147.62,35.71,36.42,70.67,30.2,15.55,34.0,11.1
8741,40.75,168.08,39.13,33.54,65.04,33.07,16.46,29.16,12.4
8743,38.78,164.78,37.01,35.04,67.76,32.32,15.87,32.62,12.56
8782,35.83,146.3,36.61,33.35,65.91,30.75,16.22,30.14,11.85
8801,39.13,192.5,40.35,36.5,72.56,33.23,16.73,33.92,13.78
8803,39.53,182.38,38.58,36.22,70.91,33.78,15.75,32.31,12.01
8827,35.47,151.14,35.83,35.0,70.08,28.31,16.18,33.76,11.81
8833,36.5,152.24,36.57,33.27,65.43,32.76,14.76,29.47,10.16
8854,39.17,169.84,39.33,35.28,67.4,33.74,15.47,31.28,12.01
8858,42.87,194.92,40.98,35.91,70.0,38.7,16.81,31.4,12.01
8896,37.52,163.9,38.27,35.59,69.72,32.32,15.39,31.91,11.61
8897,33.86,142.56,37.44,32.09,63.31,29.65,15.16,29.0,11.42
8914,39.45,184.8,40.67,34.09,66.22,35.83,16.73,30.69,13.15
8924,39.37,173.36,38.11,34.53,70.0,33.54,16.38,30.57,11.73
8933,45.0,240.9,43.03,37.83,73.11,38.11,16.93,32.78,12.99
8953,37.52,167.64,38.19,34.09,68.66,33.43,16.65,31.28,11.57
8959,46.22,244.64,44.09,37.4,72.13,43.78,18.15,31.99,11.54
8962,36.18,141.9,37.05,31.73,63.86,30.12,15.24,28.45,11.54
8964,37.32,157.08,37.64,34.13,68.58,29.76,16.57,31.17,12.4
8976,40.31,198.44,43.66,36.06,69.96,35.24,16.54,31.24,12.68
8980,42.87,206.14,42.48,35.83,71.73,36.77,16.57,31.28,11.93
8984,40.79,178.86,40.16,32.8,68.82,36.54,17.17,30.54,11.89
8998,39.53,180.62,39.53,34.84,72.28,30.87,16.14,32.98,12.4
9004,44.25,223.08,43.07,35.2,68.82,40.71,17.05,30.06,13.58
9023,39.53,174.9,39.72,33.7,67.4,33.31,15.94,30.34,12.52
9024,39.8,178.42,39.06,36.14,71.65,34.53,17.01,34.43,12.09
9058,37.72,155.76,37.17,35.28,71.77,29.33,15.67,33.09,11.42
9081,38.43,152.9,35.71,34.02,66.54,31.02,16.02,30.89,12.05
9101,36.97,148.28,38.7,32.24,61.89,34.49,15.47,26.83,10.83
9115,42.52,216.7,41.46,37.87,73.82,35.59,18.31,33.57,12.2
9118,36.18,171.82,37.56,35.87,71.3,29.02,16.5,33.53,12.95
9151,39.17,161.48,38.62,33.23,62.95,34.17,15.75,28.57,11.61
9157,44.53,214.94,41.93,36.18,69.96,39.57,17.17,31.17,12.99
9170,38.35,177.32,39.92,35.31,68.11,33.35,15.75,32.15,11.61
9177,41.34,190.52,40.2,36.69,70.0,34.92,16.26,31.76,11.93
9180,35.91,140.58,34.49,32.68,66.61,30.47,15.59,30.69,11.1
9231,38.27,176.0,37.91,35.55,72.83,32.68,16.57,34.04,12.01
9247,41.61,196.46,39.33,37.09,68.94,35.47,15.94,31.91,13.54
9250,37.95,163.02,36.3,35.08,69.45,32.2,16.42,31.91,12.09
9255,39.33,178.42,39.29,37.52,71.38,32.32,16.65,36.09,12.01
9271,42.2,187.22,40.79,36.61,69.76,37.6,15.2,32.39,12.87
9283,40.79,179.52,39.69,35.71,70.94,33.19,16.5,33.06,12.17
9290,36.42,163.02,38.54,34.69,67.8,32.09,15.2,31.05,12.2
9294,40.0,192.5,40.43,37.36,72.01,33.5,16.73,33.8,11.85
9304,38.54,177.76,38.74,36.65,74.41,33.5,15.79,34.63,11.38
9313,41.97,205.26,40.55,36.22,71.14,34.65,17.09,33.49,13.19
9321,38.39,159.94,38.62,34.09,64.57,31.18,15.28,29.59,12.64
9329,38.58,191.18,40.94,37.28,68.98,33.5,16.34,35.1,11.77
9333,37.28,155.32,36.97,33.9,65.94,31.85,16.38,32.31,11.81
9337,41.34,191.84,41.18,34.37,70.16,36.38,16.81,32.62,12.05
9342,38.43,164.12,36.97,36.57,74.06,32.09,16.26,34.67,12.01
9350,38.9,185.02,38.98,36.69,72.09,32.91,15.91,33.09,12.6
9362,39.13,176.66,39.17,34.53,71.1,32.4,17.13,32.82,12.05
9365,37.2,172.7,38.78,37.01,72.8,31.5,15.2,35.61,11.18
9368,42.32,184.14,39.29,34.57,68.03,36.26,15.87,31.28,11.5
9371,40.63,176.88,39.61,35.2,68.54,33.03,16.26,31.13,11.97
9406,37.28,146.08,36.14,34.65,66.42,31.18,15.43,31.68,11.69
9412,37.48,155.76,36.61,33.58,70.0,32.2,15.04,31.95,11.65
9503,40.0,174.9,38.74,33.23,65.0,32.24,17.17,29.59,13.07
9512,42.36,220.0,42.8,36.42,71.93,36.61,16.1,31.87,12.99
9514,46.85,229.68,43.7,36.18,71.1,41.22,16.89,31.87,13.15
9529,40.67,193.82,40.87,35.71,70.39,35.08,16.42,32.74,11.69
9547,32.44,132.66,35.39,34.02,68.23,28.94,15.67,34.12,10.83
9550,37.48,181.06,40.16,36.14,74.25,29.72,15.75,34.43,12.01
9567,36.54,166.1,39.17,35.98,71.14,30.16,15.55,32.27,11.54
9593,39.88,180.18,39.84,34.96,71.89,32.76,16.06,33.06,11.73
9613,35.55,144.98,35.87,33.54,68.5,29.33,16.02,30.77,10.63
9624,41.5,196.46,38.7,36.93,75.24,36.69,16.18,33.17,11.69
9628,39.61,169.84,38.7,35.12,69.69,34.33,16.89,33.61,12.68
9639,34.33,134.86,34.13,34.41,70.28,27.68,15.28,31.76,10.94
9665,40.43,173.58,38.35,34.29,67.44,31.77,16.06,29.87,12.32
9717,40.87,199.1,41.97,35.12,70.16,35.0,15.59,32.19,12.4
9742,36.18,133.1,34.02,33.98,66.34,28.27,15.28,31.17,12.01
9748,39.8,174.24,37.87,36.38,73.74,31.26,16.46,33.33,13.19
9775,41.46,202.84,41.65,35.83,69.41,35.28,17.48,31.44,12.05
9778,35.75,164.34,38.7,35.67,70.0,31.73,16.22,34.16,11.26
9779,38.82,175.56,38.66,35.83,71.93,32.32,16.34,33.33,12.05
9783,37.76,153.56,36.22,35.75,70.75,31.85,16.5,33.41,12.52
9792,43.9,234.74,44.13,35.83,71.69,38.46,16.61,31.56,13.19
9809,36.38,147.4,37.4,34.53,68.74,31.57,14.72,30.69,10.51
9814,43.43,209.88,40.31,37.91,71.61,37.95,16.61,32.27,12.52
9827,41.34,222.42,44.25,36.34,69.53,36.38,16.26,32.74,13.43
9841,39.13,163.68,36.18,36.54,69.49,31.89,15.94,32.98,12.8
9842,36.54,149.16,36.54,31.85,66.77,30.39,15.04,30.18,11.46
9845,42.48,206.58,41.89,35.83,68.98,35.16,17.05,32.11,13.43
9851,37.52,157.3,37.72,32.05,66.5,32.6,16.65,29.51,12.13
9855,45.51,221.1,44.25,34.37,68.23,36.73,16.89,30.14,12.91
9856,38.58,163.24,37.6,34.17,67.95,32.8,15.35,30.77,11.73
9858,41.77,192.06,39.72,36.18,70.94,35.59,16.61,32.23,11.97
9859,36.77,155.76,37.8,33.98,67.52,29.88,15.59,32.66,11.89
9860,38.11,160.38,37.87,34.53,69.57,31.1,15.04,32.03,11.06
9861,36.06,153.12,37.64,34.06,69.69,29.17,15.04,32.43,10.94
9864,33.7,144.54,35.08,35.12,68.11,28.74,14.69,34.91,11.34
9867,37.13,159.28,37.99,34.45,65.16,30.75,15.83,29.71,11.81
9871,39.96,174.68,38.58,35.94,66.89,34.17,16.81,31.32,12.91
9877,43.35,219.56,43.62,36.54,69.72,37.95,17.28,32.9,12.76
9881,38.43,171.16,38.86,35.08,65.35,34.41,16.54,29.2,11.89
9888,35.43,157.08,35.79,36.69,74.92,28.19,16.65,36.91,10.83
9897,37.95,156.2,37.01,34.02,68.98,30.71,16.5,31.56,11.85
9899,40.91,183.48,40.35,34.88,67.48,34.57,16.77,29.67,12.13
9900,40.0,206.14,41.5,35.98,71.81,34.84,16.93,34.59,13.35
9906,39.25,174.46,38.11,35.16,70.35,32.13,16.02,33.06,11.81
9909,41.65,199.1,39.57,36.73,71.22,33.31,16.46,34.35,13.11
9912,38.54,155.1,37.01,33.43,66.57,31.73,15.28,30.1,11.22
9914,43.74,220.44,43.5,35.91,70.94,39.29,16.81,32.35,13.07
9917,42.64,201.3,40.67,34.37,68.5,37.72,16.97,30.61,12.17
9922,39.45,161.7,38.23,34.25,66.61,31.46,16.65,30.77,12.2
9944,39.65,143.22,34.57,34.13,68.19,28.58,15.24,31.32,11.34
9947,39.57,180.84,40.08,36.02,69.25,34.13,15.87,32.54,12.05
9965,41.81,208.12,42.52,37.83,74.25,36.57,16.57,35.54,12.2
9974,37.32,173.36,38.35,33.86,71.97,33.15,17.72,34.28,12.09
9982,37.17,155.54,37.09,34.06,65.51,34.09,16.65,29.79,11.1
10004,38.62,168.96,39.69,33.86,68.9,31.42,15.67,33.13,11.81
10014,34.96,171.6,37.64,36.97,73.11,29.45,15.83,35.61,12.4
10025,40.12,198.22,41.65,35.35,69.88,35.24,16.1,32.74,12.99
10027,36.57,166.54,38.15,34.29,70.2,30.79,16.3,29.98,11.22
10034,42.87,227.26,42.52,38.86,75.12,38.5,17.52,35.85,12.87
10039,36.46,144.76,35.59,32.64,68.82,29.88,15.91,31.8,11.69
10066,40.75,189.2,39.06,34.84,66.22,36.65,18.31,28.96,12.48
10067,40.59,199.54,41.5,37.09,74.45,33.27,17.2,34.55,12.68
10087,38.5,159.5,37.44,34.57,68.03,30.87,16.14,30.26,11.89
10088,35.83,163.24,36.42,34.02,67.72,29.65,16.18,31.68,12.72
10089,35.51,155.76,37.68,34.76,71.02,31.57,14.96,34.16,10.2
10090,36.89,166.76,38.35,35.16,69.29,32.44,16.14,32.23,11.3
10094,38.5,134.86,34.45,34.65,66.93,30.2,15.24,31.56,11.42
10096,40.98,166.32,39.06,34.45,66.1,34.61,16.14,30.02,12.01
10098,38.7,166.54,38.58,33.15,67.2,33.23,15.94,31.72,11.61
10100,38.03,146.08,36.34,33.46,66.85,31.85,14.65,30.97,12.01
10101,37.05,144.32,35.79,34.06,64.69,30.08,14.88,30.93,11.22
10113,34.37,121.0,34.84,30.67,62.87,30.12,15.51,28.02,10.71
10119,36.14,125.84,33.39,33.78,66.65,27.87,14.57,32.7,11.1
10120,38.7,172.26,38.54,35.2,70.91,32.32,15.47,32.98,12.28
10176,35.39,140.14,35.55,35.2,69.29,29.29,15.75,32.27,11.34
10205,44.96,193.82,42.13,35.55,68.54,36.69,16.54,31.2,12.6
10231,35.91,149.82,36.89,35.83,67.01,28.94,15.31,32.58,11.69
10312,37.13,151.8,37.01,33.9,68.03,30.79,16.02,31.6,11.97
10336,41.73,218.68,41.93,38.31,76.97,35.47,16.85,36.24,13.39
10353,37.01,154.44,37.64,32.83,65.63,32.2,15.0,31.09,11.65
10374,41.06,168.52,37.05,34.84,69.45,29.37,14.96,32.78,11.97
10375,37.56,154.22,36.93,34.96,68.66,32.09,16.14,31.4,11.1
10388,35.87,165.44,37.28,37.05,73.9,30.39,16.1,35.3,11.57
10394,44.17,215.16,41.73,38.23,73.94,37.95,15.91,34.31,12.72
10403,40.51,194.04,39.57,35.63,70.55,31.93,16.85,33.49,13.19
10413,38.74,210.98,43.94,36.81,74.61,36.38,16.38,34.67,11.93
10414,40.16,158.84,36.85,32.87,64.09,31.57,16.1,28.33,11.89
10451,39.76,162.14,38.35,34.21,67.6,31.85,14.45,31.68,11.61
10452,37.76,158.4,36.46,34.41,65.87,31.85,16.38,31.48,12.48
10454,38.39,171.16,37.48,35.04,68.19,32.2,15.08,32.19,12.09
10469,39.72,177.98,39.8,34.65,66.65,35.31,14.84,30.38,11.77
10484,39.92,184.14,39.41,35.51,70.2,35.31,16.65,32.58,12.72
10487,41.26,201.74,41.5,35.67,70.94,36.61,16.02,32.5,12.2
10496,41.14,188.76,39.72,35.47,70.91,36.38,15.28,33.37,11.34
10504,39.65,170.94,38.35,35.98,68.78,32.17,16.26,33.02,12.24
10631,39.72,178.2,39.37,35.91,69.88,37.72,16.14,32.98,11.1
10636,38.03,168.3,38.39,34.92,69.02,32.8,15.98,31.6,11.57
10645,40.94,192.94,40.51,36.34,69.29,34.8,16.1,32.58,12.4
10648,41.14,182.38,37.8,36.22,70.39,32.17,16.34,33.72,12.91
10668,36.97,144.76,36.14,36.1,72.32,28.31,14.49,35.1,10.83
