SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
24763,39.33,159.94,41.57,64.21,34.33,30.14
24764,33.19,104.94,34.02,60.39,29.17,27.98
24769,37.87,159.06,39.49,68.15,30.35,32.07
24772,33.35,113.96,35.2,61.61,24.92,28.84
24773,34.92,139.7,39.45,65.28,28.74,29.87
24774,36.42,141.68,39.06,63.07,27.32,28.57
24775,38.39,144.98,40.08,62.2,33.54,28.09
24776,33.54,120.56,36.34,62.36,27.17,27.94
24777,34.45,135.3,37.32,68.98,26.85,31.28
24778,45.63,186.12,42.24,65.59,37.6,29.35
24780,35.87,124.52,37.09,63.5,28.31,28.8
24783,34.45,123.2,35.98,62.01,28.31,27.11
24785,34.65,123.2,35.94,64.33,25.55,30.65
24786,34.92,139.7,40.16,64.09,28.03,29.94
24790,37.48,151.14,39.76,63.46,32.05,28.69
24793,36.42,145.64,37.87,70.24,29.41,33.29
24794,34.25,138.82,37.91,62.91,27.24,26.48
24796,34.37,132.44,35.94,64.06,26.18,29.59
24803,41.73,170.28,40.04,68.19,31.85,31.48
24804,39.37,137.94,37.13,61.89,31.69,28.84
24808,35.04,129.14,36.69,61.77,26.57,28.21
24812,32.48,118.8,35.67,60.94,28.66,28.88
24813,33.9,137.06,37.32,65.35,26.5,30.18
24814,37.64,156.42,39.53,64.06,29.21,30.73
24815,35.87,134.86,37.28,62.13,28.27,27.7
24816,38.39,164.56,41.14,65.94,30.63,30.34
24827,33.43,115.72,34.06,59.88,26.22,26.24
24831,33.39,120.34,36.93,61.26,26.38,27.94
24839,34.8,127.6,35.91,64.45,28.46,30.81
24844,35.43,134.86,37.52,63.39,28.15,28.84
24845,36.34,138.16,37.09,66.89,29.84,32.19
24846,34.88,136.84,38.27,67.05,26.02,33.02
24847,32.91,98.78,30.98,62.09,23.86,29.39
24848,34.33,129.36,38.86,62.76,27.99,28.17
24851,39.57,172.7,43.78,67.2,32.01,31.99
24852,37.01,136.18,38.11,64.65,27.52,31.13
24854,32.6,125.84,36.93,62.01,26.3,26.83
24855,36.46,147.84,39.72,65.55,29.25,31.05
24856,34.88,134.2,35.91,64.84,26.77,29.51
24857,40.59,157.3,40.12,65.75,32.01,31.09
24859,33.58,119.9,35.71,61.57,27.6,29.2
24862,35.83,139.48,38.03,65.0,29.09,31.99
24865,36.42,150.04,39.37,62.83,29.96,28.37
24866,34.76,122.54,35.47,65.59,28.23,31.01
24867,37.8,160.38,42.09,69.57,29.29,33.06
24869,35.39,151.58,38.58,66.93,29.02,32.46
24871,37.6,147.84,39.96,65.98,27.72,30.73
24872,39.09,165.0,41.69,65.87,29.84,29.59
24874,33.94,130.02,36.02,64.88,28.27,30.65
24876,37.2,130.46,35.87,62.05,31.38,29.59
24877,37.2,133.76,40.16,61.65,30.75,26.99
24880,35.28,125.62,36.46,60.98,28.98,28.29
24882,37.13,130.24,36.89,63.11,29.76,29.35
24883,32.56,115.5,34.13,63.94,24.53,29.35
24884,36.89,141.24,38.9,62.2,31.38,28.13
24886,37.52,134.64,38.35,61.06,30.51,27.39
